"age", "gender", "signed_in", "avg_click", "agv_impressions", "max_click", "max_impressions"
0, 0, 0, 0.14, 5.0, 4, 18
7, 0, 1, 0.75, 5.0, 1, 7
7, 1, 1, 0.00, 6.0, 0, 6
8, 0, 1, 0.00, 6.3, 0, 10
8, 1, 1, 0.33, 6.2, 1, 11
9, 0, 1, 0.12, 5.7, 1, 10
9, 1, 1, 0.09, 5.4, 1, 9
10, 0, 1, 0.12, 5.2, 1, 11
10, 1, 1, 0.19, 4.7, 1, 11
11, 0, 1, 0.13, 4.9, 2, 13
11, 1, 1, 0.13, 5.2, 1, 13
12, 0, 1, 0.15, 4.8, 2, 16
12, 1, 1, 0.16, 5.0, 2, 13
13, 0, 1, 0.15, 5.0, 2, 12
13, 1, 1, 0.15, 5.0, 2, 15
14, 0, 1, 0.13, 5.0, 2, 14
14, 1, 1, 0.13, 5.1, 3, 15
15, 0, 1, 0.18, 5.0, 2, 15
15, 1, 1, 0.14, 4.9, 3, 14
16, 0, 1, 0.16, 4.9, 2, 16
16, 1, 1, 0.15, 5.0, 3, 16
17, 0, 1, 0.16, 5.1, 2, 12
17, 1, 1, 0.15, 5.0, 3, 15
18, 0, 1, 0.08, 5.0, 2, 16
18, 1, 1, 0.09, 5.0, 2, 17
19, 0, 1, 0.05, 5.1, 2, 17
19, 1, 1, 0.05, 5.0, 2, 16
20, 0, 1, 0.05, 5.0, 2, 15
20, 1, 1, 0.04, 5.0, 2, 16
21, 0, 1, 0.05, 5.1, 2, 14
21, 1, 1, 0.05, 5.1, 2, 14
22, 0, 1, 0.05, 5.0, 2, 14
22, 1, 1, 0.05, 5.0, 2, 14
23, 0, 1, 0.05, 5.0, 2, 15
23, 1, 1, 0.05, 5.0, 2, 14
24, 0, 1, 0.04, 4.9, 1, 15
24, 1, 1, 0.05, 5.0, 2, 15
25, 0, 1, 0.04, 4.9, 2, 15
25, 1, 1, 0.05, 5.1, 2, 15
26, 0, 1, 0.05, 5.0, 2, 14
26, 1, 1, 0.05, 5.0, 2, 13
27, 0, 1, 0.05, 5.0, 2, 13
27, 1, 1, 0.05, 5.0, 2, 14
28, 0, 1, 0.05, 5.1, 2, 16
28, 1, 1, 0.04, 4.9, 2, 14
29, 0, 1, 0.05, 5.0, 2, 15
29, 1, 1, 0.04, 4.9, 2, 15
30, 0, 1, 0.05, 5.0, 2, 14
30, 1, 1, 0.06, 5.0, 2, 14
31, 0, 1, 0.05, 5.0, 2, 13
31, 1, 1, 0.06, 5.0, 2, 15
32, 0, 1, 0.05, 5.0, 2, 15
32, 1, 1, 0.05, 5.0, 2, 14
33, 0, 1, 0.05, 5.0, 2, 13
33, 1, 1, 0.05, 5.0, 2, 14
34, 0, 1, 0.06, 5.0, 1, 17
34, 1, 1, 0.04, 5.0, 2, 15
35, 0, 1, 0.05, 5.0, 2, 14
35, 1, 1, 0.05, 5.0, 2, 13
36, 0, 1, 0.05, 5.0, 2, 14
36, 1, 1, 0.05, 5.0, 3, 14
37, 0, 1, 0.06, 5.0, 2, 16
37, 1, 1, 0.05, 5.0, 2, 20
38, 0, 1, 0.05, 5.0, 2, 14
38, 1, 1, 0.06, 5.0, 2, 15
39, 0, 1, 0.05, 5.1, 2, 15
39, 1, 1, 0.05, 5.0, 2, 14
40, 0, 1, 0.05, 5.0, 2, 14
40, 1, 1, 0.05, 5.1, 2, 15
41, 0, 1, 0.05, 5.0, 2, 14
41, 1, 1, 0.05, 5.1, 2, 16
42, 0, 1, 0.05, 5.0, 2, 16
42, 1, 1, 0.05, 5.0, 2, 15
43, 0, 1, 0.05, 5.0, 2, 14
43, 1, 1, 0.05, 5.0, 2, 17
44, 0, 1, 0.06, 5.0, 2, 13
44, 1, 1, 0.05, 5.0, 2, 15
45, 0, 1, 0.05, 5.1, 2, 15
45, 1, 1, 0.06, 5.0, 2, 14
46, 0, 1, 0.06, 5.0, 2, 15
46, 1, 1, 0.04, 5.0, 2, 14
47, 0, 1, 0.05, 5.0, 2, 17
47, 1, 1, 0.05, 5.1, 2, 16
48, 0, 1, 0.06, 5.0, 2, 14
48, 1, 1, 0.05, 4.9, 2, 14
49, 0, 1, 0.05, 5.0, 2, 16
49, 1, 1, 0.05, 5.0, 2, 16
50, 0, 1, 0.05, 5.0, 2, 14
50, 1, 1, 0.05, 5.1, 2, 14
51, 0, 1, 0.05, 5.0, 2, 14
51, 1, 1, 0.05, 5.0, 2, 15
52, 0, 1, 0.05, 5.0, 2, 13
52, 1, 1, 0.05, 5.0, 2, 15
53, 0, 1, 0.05, 5.0, 2, 14
53, 1, 1, 0.05, 5.0, 2, 14
54, 0, 1, 0.05, 5.1, 2, 15
54, 1, 1, 0.05, 5.0, 1, 15
55, 0, 1, 0.10, 5.0, 2, 13
55, 1, 1, 0.09, 5.0, 2, 14
56, 0, 1, 0.09, 4.9, 2, 15
56, 1, 1, 0.11, 5.1, 3, 14
57, 0, 1, 0.10, 5.0, 2, 15
57, 1, 1, 0.10, 5.0, 3, 15
58, 0, 1, 0.11, 5.0, 2, 13
58, 1, 1, 0.09, 5.0, 2, 14
59, 0, 1, 0.10, 5.0, 3, 13
59, 1, 1, 0.10, 5.0, 3, 13
60, 0, 1, 0.10, 5.0, 2, 13
60, 1, 1, 0.10, 5.0, 3, 15
61, 0, 1, 0.10, 5.0, 3, 13
61, 1, 1, 0.10, 5.0, 2, 14
62, 0, 1, 0.10, 5.0, 2, 14
62, 1, 1, 0.11, 5.0, 2, 16
63, 0, 1, 0.10, 5.1, 2, 14
63, 1, 1, 0.11, 4.9, 2, 13
64, 0, 1, 0.11, 5.1, 2, 13
64, 1, 1, 0.11, 5.0, 2, 14
65, 0, 1, 0.13, 5.1, 2, 13
65, 1, 1, 0.14, 5.1, 3, 13
66, 0, 1, 0.17, 4.9, 3, 15
66, 1, 1, 0.16, 5.1, 2, 13
67, 0, 1, 0.15, 5.0, 2, 15
67, 1, 1, 0.14, 5.0, 2, 12
68, 0, 1, 0.14, 5.0, 3, 16
68, 1, 1, 0.17, 5.0, 2, 12
69, 0, 1, 0.14, 5.1, 2, 15
69, 1, 1, 0.15, 5.1, 2, 14
70, 0, 1, 0.17, 5.1, 2, 12
70, 1, 1, 0.15, 5.0, 2, 16
71, 0, 1, 0.15, 5.0, 3, 13
71, 1, 1, 0.16, 5.0, 2, 13
72, 0, 1, 0.13, 5.1, 2, 13
72, 1, 1, 0.13, 4.9, 2, 12
73, 0, 1, 0.16, 5.0, 2, 14
73, 1, 1, 0.15, 5.0, 2, 13
74, 0, 1, 0.17, 5.1, 2, 14
74, 1, 1, 0.18, 5.0, 3, 14
75, 0, 1, 0.16, 5.0, 2, 13
75, 1, 1, 0.15, 4.9, 2, 14
76, 0, 1, 0.17, 5.0, 2, 12
76, 1, 1, 0.15, 5.0, 2, 15
77, 0, 1, 0.14, 4.9, 2, 15
77, 1, 1, 0.13, 5.1, 2, 13
78, 0, 1, 0.14, 5.2, 2, 13
78, 1, 1, 0.13, 5.1, 2, 12
79, 0, 1, 0.18, 5.0, 2, 14
79, 1, 1, 0.18, 5.1, 2, 12
80, 0, 1, 0.15, 4.8, 2, 13
80, 1, 1, 0.16, 4.8, 3, 10
81, 0, 1, 0.15, 5.0, 2, 13
81, 1, 1, 0.14, 4.8, 2, 14
82, 0, 1, 0.14, 5.1, 2, 14
82, 1, 1, 0.19, 5.0, 2, 16
83, 0, 1, 0.15, 5.1, 3, 13
83, 1, 1, 0.17, 5.0, 3, 11
84, 0, 1, 0.15, 4.9, 2, 12
84, 1, 1, 0.13, 5.0, 1, 9
85, 0, 1, 0.07, 4.8, 1, 11
85, 1, 1, 0.12, 4.8, 1, 12
86, 0, 1, 0.13, 5.1, 3, 14
86, 1, 1, 0.15, 4.8, 3, 11
87, 0, 1, 0.11, 5.1, 1, 12
87, 1, 1, 0.11, 4.9, 2, 12
88, 0, 1, 0.10, 5.0, 1, 11
88, 1, 1, 0.18, 5.1, 1, 11
89, 0, 1, 0.07, 5.0, 1, 12
89, 1, 1, 0.12, 5.0, 1, 10
90, 0, 1, 0.17, 5.0, 2, 10
90, 1, 1, 0.23, 5.2, 1, 10
91, 0, 1, 0.09, 4.7, 1, 12
91, 1, 1, 0.08, 4.4, 1, 13
92, 0, 1, 0.06, 4.7, 1, 9
92, 1, 1, 0.21, 5.1, 1, 14
93, 0, 1, 0.25, 4.9, 1, 8
93, 1, 1, 0.00, 5.3, 0, 8
94, 0, 1, 0.15, 5.2, 2, 9
94, 1, 1, 0.35, 4.6, 2, 9
95, 0, 1, 0.14, 4.9, 1, 9
95, 1, 1, 0.15, 5.1, 1, 9
96, 0, 1, 0.06, 5.2, 1, 10
96, 1, 1, 0.00, 5.5, 0, 9
97, 0, 1, 0.14, 4.7, 1, 6
97, 1, 1, 0.14, 5.1, 1, 9
98, 0, 1, 0.22, 4.1, 1, 7
98, 1, 1, 0.00, 4.0, 0, 7
99, 0, 1, 0.20, 5.8, 1, 7
99, 1, 1, 0.00, 8.0, 0, 12
100, 0, 1, 0.00, 2.0, 0, 2
100, 1, 1, 0.33, 2.7, 1, 4
101, 0, 1, 0.00, 3.5, 0, 5
101, 1, 1, 0.00, 4.5, 0, 5
102, 1, 1, 0.00, 4.5, 0, 6
103, 0, 1, 0.00, 4.0, 0, 4
103, 1, 1, 0.00, 3.0, 0, 3
104, 1, 1, 1.00, 6.0, 1, 6
107, 1, 1, 0.50, 4.5, 1, 5
108, 0, 1, 0.00, 3.0, 0, 3
